nfile,length,label,reliability
slice_001.wav,39,3,2
slice_002.wav,25,3,2
slice_003.wav,17,1,3
slice_004.wav,22,1,3
slice_005.wav,28,3,3
slice_006.wav,19,3,1
slice_007.wav,22,3,2
slice_008.wav,37,3,3
slice_009.wav,37,3,3
slice_010.wav,24,3,3
slice_011.wav,24,1,3
slice_012.wav,19,3,2
slice_013.wav,17,3,2
slice_014.wav,16,3,1
slice_015.wav,15,3,1
slice_016.wav,16,1,1
slice_017.wav,9,1,2
slice_018.wav,14,3,2
slice_019.wav,19,3,3
slice_020.wav,18,3,3
slice_021.wav,24,3,2
slice_022.wav,20,3,1
slice_023.wav,20,3,2
slice_024.wav,15,3,3
slice_025.wav,18,3,2
slice_026.wav,11,3,1
slice_027.wav,30,3,1
slice_028.wav,16,3,1
slice_029.wav,34,3,3
slice_030.wav,16,3,3
slice_031.wav,10,1,3
slice_032.wav,19,3,1
slice_033.wav,18,3,2
slice_034.wav,17,3,3
slice_035.wav,12,3,1
slice_036.wav,14,3,2
slice_037.wav,12,3,1
slice_038.wav,10,3,1
slice_039.wav,23,3,3
slice_040.wav,32,3,2
slice_041.wav,7,3,1
slice_042.wav,16,3,2
slice_043.wav,15,3,1
slice_044.wav,8,3,2
slice_045.wav,5,3,3
slice_046.wav,4,3,2
slice_047.wav,3,3,2
slice_048.wav,4,3,2
slice_049.wav,8,3,2
slice_050.wav,4,3,2
slice_051.wav,9,3,3
slice_052.wav,15,3,2
slice_053.wav,29,3,3
slice_054.wav,20,3,1
slice_055.wav,18,3,2
slice_056.wav,15,3,1
slice_057.wav,55,4,1
