nfile,length,label,reliability
slice_001.wav,38,1,3
slice_002.wav,13,2,3
slice_003.wav,15,3,1
slice_004.wav,11,2,3
slice_005.wav,30,2,3
slice_006.wav,22,2,3
slice_007.wav,17,2,3
slice_008.wav,31,3,2
slice_009.wav,32,4,2
slice_010.wav,16,2,3
slice_011.wav,15,2,3
slice_012.wav,23,2,3
slice_013.wav,25,2,3
slice_014.wav,31,2,3
slice_015.wav,23,2,3
slice_016.wav,24,2,3
slice_017.wav,22,2,3
slice_018.wav,27,1,1
slice_019.wav,24,2,3
slice_020.wav,36,2,3
slice_021.wav,23,2,3
slice_022.wav,27,2,3
slice_023.wav,28,2,3
slice_024.wav,34,2,3
slice_025.wav,32,2,3
slice_026.wav,26,2,3
slice_027.wav,22,2,3
slice_180.wav,38,1,3
slice_181.wav,13,2,3
slice_182.wav,15,3,1
slice_183.wav,11,2,3
slice_184.wav,30,2,3
slice_185.wav,22,2,3
slice_186.wav,17,2,3
slice_187.wav,31,3,2
slice_188.wav,32,4,2
slice_189.wav,16,2,3
slice_190.wav,15,2,3
slice_191.wav,23,2,3
slice_192.wav,25,2,3
slice_193.wav,31,2,3
slice_194.wav,23,2,3
slice_195.wav,24,2,3
slice_196.wav,22,2,3
slice_197.wav,27,1,1
slice_198.wav,24,2,3
slice_199.wav,36,2,3
slice_200.wav,23,2,3
slice_201.wav,27,2,3
slice_202.wav,28,2,3
slice_203.wav,34,2,3
slice_204.wav,32,2,3
slice_205.wav,26,2,3
slice_206.wav,22,2,3
slice_207.wav,38,1,3
slice_208.wav,13,2,3
slice_209.wav,15,3,1
slice_210.wav,11,2,3
slice_211.wav,30,2,3
slice_212.wav,22,2,3
slice_213.wav,17,2,3
slice_214.wav,31,3,2
slice_215.wav,32,4,2
slice_216.wav,16,2,3
slice_217.wav,15,2,3
slice_218.wav,23,2,3
slice_219.wav,25,2,3
slice_220.wav,31,2,3
slice_221.wav,23,2,3
slice_222.wav,24,2,3
slice_223.wav,22,2,3
slice_224.wav,27,1,1
slice_225.wav,24,2,3
slice_226.wav,36,2,3
slice_227.wav,23,2,3
slice_228.wav,27,2,3
slice_229.wav,28,2,3
slice_230.wav,34,2,3
slice_231.wav,32,2,3
slice_232.wav,26,2,3
slice_233.wav,22,2,3
