Start,End,Label,Reliability
00:19:51,00:20:30,2,2
00:33:05,00:33:30,2,2
00:36:21,00:36:38,1,3
00:46:11,00:46:33,1,3
00:50:30,00:50:58,2,3
01:12:25,01:12:44,2,1
01:34:18,01:34:40,2,2
01:44:59,01:45:36,2,3
02:00:57,02:01:34,2,3
02:25:09,02:25:33,2,3
02:25:50,02:26:14,1,3
02:28:37,02:28:56,2,2
02:44:42,02:44:59,2,2
02:49:52,02:50:08,2,1
02:54:40,02:54:55,2,1
02:56:57,02:57:13,1,1
02:57:26,02:57:35,1,2
02:57:47,02:58:01,2,2
03:08:27,03:08:46,2,3
03:19:00,03:19:18,2,3
03:26:58,03:27:22,2,2
03:51:02,03:51:22,2,1
04:03:21,04:03:41,2,2
04:04:57,04:05:12,2,3
04:05:15,04:05:33,2,2
04:13:58,04:14:09,2,1
04:27:16,04:27:46,2,1
04:32:41,04:32:57,2,1
04:40:16,04:40:50,2,3
04:41:31,04:41:47,2,3
04:48:59,04:49:09,1,3
04:55:43,04:56:02,2,1
04:57:32,04:57:50,2,2
05:10:29,05:10:46,2,3
05:16:13,05:16:25,2,1
05:46:28,05:46:42,2,2
05:47:58,05:48:10,2,1
06:03:53,06:04:03,2,1
06:11:11,06:11:34,2,3
06:20:00,06:20:32,2,2
06:26:10,06:26:17,2,1
06:32:17,06:32:33,2,2
06:37:14,06:37:29,2,1
06:39:55,06:40:03,2,2
06:50:28,06:50:33,2,3
06:51:01,06:51:05,2,2
06:51:12,06:51:15,2,2
06:51:23,06:51:27,2,2
06:51:38,06:51:46,2,2
06:51:53,06:51:57,2,2
06:58:37,06:58:46,2,3
07:25:40,07:25:55,2,2
07:31:48,07:32:17,2,3
08:18:24,08:18:44,2,1
09:30:22,09:30:40,2,2
09:56:34,09:56:49,2,1
11:10:17,11:11:12,2,1
